Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.002302dB, Best: 0.002302dB
Iteration 101, Objective: 0.002299dB, Best: 0.002299dB
Iteration 102, Objective: 0.002297dB, Best: 0.002297dB
Iteration 103, Objective: 0.002296dB, Best: 0.002296dB
Iteration 104, Objective: 0.002294dB, Best: 0.002294dB
Iteration 105, Objective: 0.002292dB, Best: 0.002292dB
Iteration 106, Objective: 0.002289dB, Best: 0.002289dB
Iteration 107, Objective: 0.002288dB, Best: 0.002288dB
Iteration 108, Objective: 0.002283dB, Best: 0.002283dB
Iteration 109, Objective: 0.002270dB, Best: 0.002270dB
Iteration 110, Objective: 0.002260dB, Best: 0.002260dB
Iteration 111, Objective: 0.002255dB, Best: 0.002255dB
Iteration 112, Objective: 0.002250dB, Best: 0.002250dB
Iteration 113, Objective: 0.002239dB, Best: 0.002239dB
Iteration 114, Objective: 0.002233dB, Best: 0.002233dB
Iteration 115, Objective: 0.002227dB, Best: 0.002227dB
Iteration 116, Objective: 0.002223dB, Best: 0.002223dB
Iteration 117, Objective: 0.002218dB, Best: 0.002218dB
Iteration 118, Objective: 0.002211dB, Best: 0.002211dB
Iteration 119, Objective: 0.002207dB, Best: 0.002207dB
Iteration 120, Objective: 0.002201dB, Best: 0.002201dB
Iteration 121, Objective: 0.002188dB, Best: 0.002188dB
Iteration 122, Objective: 0.002186dB, Best: 0.002186dB
Iteration 123, Objective: 0.002180dB, Best: 0.002180dB
Iteration 124, Objective: 0.002175dB, Best: 0.002175dB
Iteration 125, Objective: 0.002172dB, Best: 0.002172dB
Iteration 126, Objective: 0.002170dB, Best: 0.002170dB
Iteration 127, Objective: 0.002168dB, Best: 0.002168dB
Iteration 128, Objective: 0.002162dB, Best: 0.002162dB
Iteration 129, Objective: 0.002160dB, Best: 0.002160dB
Iteration 130, Objective: 0.002157dB, Best: 0.002157dB
Iteration 131, Objective: 0.002156dB, Best: 0.002156dB
Iteration 132, Objective: 0.002156dB, Best: 0.002156dB
Iteration 133, Objective: 0.002154dB, Best: 0.002154dB
Iteration 134, Objective: 0.002153dB, Best: 0.002153dB
Iteration 135, Objective: 0.002151dB, Best: 0.002151dB
Iteration 136, Objective: 0.002150dB, Best: 0.002150dB
Iteration 137, Objective: 0.002148dB, Best: 0.002148dB
Iteration 138, Objective: 0.002147dB, Best: 0.002147dB
Iteration 139, Objective: 0.002144dB, Best: 0.002144dB
Iteration 140, Objective: 0.002140dB, Best: 0.002140dB
Iteration 141, Objective: 0.002138dB, Best: 0.002138dB
Iteration 142, Objective: 0.002135dB, Best: 0.002135dB
Iteration 143, Objective: 0.002132dB, Best: 0.002132dB
Iteration 144, Objective: 0.002129dB, Best: 0.002129dB
Iteration 145, Objective: 0.002125dB, Best: 0.002125dB
Iteration 146, Objective: 0.002114dB, Best: 0.002114dB
Iteration 147, Objective: 0.002111dB, Best: 0.002111dB
Iteration 148, Objective: 0.002106dB, Best: 0.002106dB
Iteration 149, Objective: 0.002100dB, Best: 0.002100dB
Iteration 150, Objective: 0.002095dB, Best: 0.002095dB
Iteration 151, Objective: 0.002086dB, Best: 0.002086dB
Iteration 152, Objective: 0.002078dB, Best: 0.002078dB
Iteration 153, Objective: 0.002068dB, Best: 0.002068dB
Iteration 154, Objective: 0.002054dB, Best: 0.002054dB
Iteration 155, Objective: 0.002036dB, Best: 0.002036dB
Iteration 156, Objective: 0.002012dB, Best: 0.002012dB
Iteration 157, Objective: 0.001997dB, Best: 0.001997dB
Iteration 158, Objective: 0.001984dB, Best: 0.001984dB
Iteration 159, Objective: 0.001971dB, Best: 0.001971dB
Iteration 160, Objective: 0.001954dB, Best: 0.001954dB
Iteration 161, Objective: 0.001944dB, Best: 0.001944dB
Iteration 162, Objective: 0.001913dB, Best: 0.001913dB
Iteration 163, Objective: 0.001901dB, Best: 0.001901dB
Iteration 164, Objective: 0.001880dB, Best: 0.001880dB
Iteration 165, Objective: 0.001839dB, Best: 0.001839dB
Iteration 166, Objective: 0.001813dB, Best: 0.001813dB
Iteration 167, Objective: 0.001780dB, Best: 0.001780dB
Iteration 168, Objective: 0.001756dB, Best: 0.001756dB
Iteration 169, Objective: 0.001739dB, Best: 0.001739dB
Iteration 170, Objective: 0.001721dB, Best: 0.001721dB
Iteration 171, Objective: 0.001694dB, Best: 0.001694dB
Iteration 172, Objective: 0.001669dB, Best: 0.001669dB
Iteration 173, Objective: 0.001642dB, Best: 0.001642dB
Iteration 174, Objective: 0.001615dB, Best: 0.001615dB
Iteration 175, Objective: 0.001585dB, Best: 0.001585dB
Iteration 176, Objective: 0.001545dB, Best: 0.001545dB
Iteration 177, Objective: 0.001511dB, Best: 0.001511dB
Iteration 178, Objective: 0.001482dB, Best: 0.001482dB
Iteration 179, Objective: 0.001447dB, Best: 0.001447dB
Iteration 180, Objective: 0.001363dB, Best: 0.001363dB
Iteration 181, Objective: 0.001303dB, Best: 0.001303dB
Iteration 182, Objective: 0.001243dB, Best: 0.001243dB
Iteration 183, Objective: 0.001174dB, Best: 0.001174dB
Iteration 184, Objective: 0.001119dB, Best: 0.001119dB
Iteration 185, Objective: 0.001102dB, Best: 0.001102dB
Iteration 186, Objective: 0.001084dB, Best: 0.001084dB
Iteration 187, Objective: 0.001073dB, Best: 0.001073dB
Iteration 188, Objective: 0.001058dB, Best: 0.001058dB
Iteration 189, Objective: 0.001043dB, Best: 0.001043dB
Iteration 190, Objective: 0.001029dB, Best: 0.001029dB
Iteration 191, Objective: 0.001015dB, Best: 0.001015dB
Iteration 192, Objective: 0.001003dB, Best: 0.001003dB
Iteration 193, Objective: 0.000991dB, Best: 0.000991dB
Optimization finished after 193 iterations, best objective: 0.000991dB

SUMMARY
=========================================
Optimized 524289 frequencies, reduced to 244558 phases
Achieved error of 0.000991dB after 193 iterations
Signal statistics (96.0kHz):
Duration: 10.923 s (1048576 samples)
Broadband Crest factor: 12.693dB (4.31x)
Peak value: 1.000
RMS value: 0.232
Mean: 0.000000
Std dev: 0.232
