Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.002087dB, Best: 0.002087dB
Iteration 101, Objective: 0.002063dB, Best: 0.002063dB
Iteration 102, Objective: 0.002033dB, Best: 0.002033dB
Iteration 103, Objective: 0.002018dB, Best: 0.002018dB
Iteration 104, Objective: 0.001993dB, Best: 0.001993dB
Iteration 105, Objective: 0.001979dB, Best: 0.001979dB
Iteration 106, Objective: 0.001961dB, Best: 0.001961dB
Iteration 107, Objective: 0.001945dB, Best: 0.001945dB
Iteration 108, Objective: 0.001915dB, Best: 0.001915dB
Iteration 109, Objective: 0.001900dB, Best: 0.001900dB
Iteration 110, Objective: 0.001882dB, Best: 0.001882dB
Iteration 111, Objective: 0.001870dB, Best: 0.001870dB
Iteration 112, Objective: 0.001852dB, Best: 0.001852dB
Iteration 113, Objective: 0.001835dB, Best: 0.001835dB
Iteration 114, Objective: 0.001817dB, Best: 0.001817dB
Iteration 115, Objective: 0.001773dB, Best: 0.001773dB
Iteration 116, Objective: 0.001750dB, Best: 0.001750dB
Iteration 117, Objective: 0.001642dB, Best: 0.001642dB
Iteration 118, Objective: 0.001547dB, Best: 0.001547dB
Iteration 119, Objective: 0.001453dB, Best: 0.001453dB
Iteration 120, Objective: 0.001367dB, Best: 0.001367dB
Iteration 121, Objective: 0.001261dB, Best: 0.001261dB
Iteration 122, Objective: 0.001187dB, Best: 0.001187dB
Iteration 123, Objective: 0.001123dB, Best: 0.001123dB
Iteration 124, Objective: 0.001066dB, Best: 0.001066dB
Iteration 125, Objective: 0.000981dB, Best: 0.000981dB
Optimization finished after 125 iterations, best objective: 0.000981dB

SUMMARY
=========================================
Optimized 524289 frequencies, reduced to 244558 phases
Achieved error of 0.000981dB after 125 iterations
Signal statistics (96.0kHz):
Duration: 10.923 s (1048576 samples)
Broadband Crest factor: 12.716dB (4.32x)
Peak value: 1.000
RMS value: 0.231
Mean: 0.000000
Std dev: 0.231
