Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.071372dB, Best: 0.071372dB
Iteration 101, Objective: 0.071167dB, Best: 0.071167dB
Iteration 102, Objective: 0.071051dB, Best: 0.071051dB
Iteration 103, Objective: 0.070962dB, Best: 0.070962dB
Iteration 104, Objective: 0.070745dB, Best: 0.070745dB
Iteration 105, Objective: 0.070553dB, Best: 0.070553dB
Iteration 106, Objective: 0.070431dB, Best: 0.070431dB
Iteration 107, Objective: 0.070201dB, Best: 0.070201dB
Iteration 108, Objective: 0.070194dB, Best: 0.070194dB
Iteration 109, Objective: 0.069867dB, Best: 0.069867dB
Iteration 110, Objective: 0.069862dB, Best: 0.069862dB
Iteration 111, Objective: 0.069303dB, Best: 0.069303dB
Iteration 112, Objective: 0.069239dB, Best: 0.069239dB
Iteration 113, Objective: 0.069014dB, Best: 0.069014dB
Iteration 114, Objective: 0.068690dB, Best: 0.068690dB
Iteration 115, Objective: 0.068495dB, Best: 0.068495dB
Iteration 116, Objective: 0.068362dB, Best: 0.068362dB
Iteration 117, Objective: 0.068321dB, Best: 0.068321dB
Iteration 118, Objective: 0.068187dB, Best: 0.068187dB
Iteration 119, Objective: 0.068109dB, Best: 0.068109dB
Iteration 120, Objective: 0.067854dB, Best: 0.067854dB
Iteration 121, Objective: 0.067827dB, Best: 0.067827dB
Iteration 122, Objective: 0.067643dB, Best: 0.067643dB
Iteration 123, Objective: 0.067595dB, Best: 0.067595dB
Iteration 124, Objective: 0.067532dB, Best: 0.067532dB
Iteration 125, Objective: 0.067479dB, Best: 0.067479dB
Iteration 126, Objective: 0.067422dB, Best: 0.067422dB
Iteration 127, Objective: 0.067409dB, Best: 0.067409dB
Iteration 128, Objective: 0.067328dB, Best: 0.067328dB
Iteration 129, Objective: 0.067290dB, Best: 0.067290dB
Iteration 130, Objective: 0.067241dB, Best: 0.067241dB
Iteration 131, Objective: 0.067208dB, Best: 0.067208dB
Iteration 132, Objective: 0.067166dB, Best: 0.067166dB
Iteration 133, Objective: 0.067135dB, Best: 0.067135dB
Iteration 134, Objective: 0.067084dB, Best: 0.067084dB
Iteration 135, Objective: 0.067045dB, Best: 0.067045dB
Iteration 136, Objective: 0.066986dB, Best: 0.066986dB
Iteration 137, Objective: 0.066941dB, Best: 0.066941dB
Iteration 138, Objective: 0.066857dB, Best: 0.066857dB
Iteration 139, Objective: 0.066741dB, Best: 0.066741dB
Iteration 140, Objective: 0.066664dB, Best: 0.066664dB
Iteration 141, Objective: 0.066594dB, Best: 0.066594dB
Iteration 142, Objective: 0.066542dB, Best: 0.066542dB
Iteration 143, Objective: 0.066487dB, Best: 0.066487dB
Iteration 144, Objective: 0.066404dB, Best: 0.066404dB
Iteration 145, Objective: 0.066377dB, Best: 0.066377dB
Iteration 146, Objective: 0.066338dB, Best: 0.066338dB
Iteration 147, Objective: 0.066305dB, Best: 0.066305dB
Iteration 148, Objective: 0.066165dB, Best: 0.066165dB
Iteration 149, Objective: 0.066034dB, Best: 0.066034dB
Iteration 150, Objective: 0.065964dB, Best: 0.065964dB
Iteration 151, Objective: 0.065829dB, Best: 0.065829dB
Iteration 152, Objective: 0.065759dB, Best: 0.065759dB
Iteration 153, Objective: 0.065555dB, Best: 0.065555dB
Iteration 154, Objective: 0.065437dB, Best: 0.065437dB
Iteration 155, Objective: 0.065307dB, Best: 0.065307dB
Iteration 156, Objective: 0.065222dB, Best: 0.065222dB
Iteration 157, Objective: 0.065156dB, Best: 0.065156dB
Iteration 158, Objective: 0.065146dB, Best: 0.065146dB
Iteration 159, Objective: 0.065018dB, Best: 0.065018dB
Iteration 160, Objective: 0.064822dB, Best: 0.064822dB
Iteration 161, Objective: 0.064646dB, Best: 0.064646dB
Iteration 162, Objective: 0.064543dB, Best: 0.064543dB
Iteration 163, Objective: 0.064473dB, Best: 0.064473dB
Iteration 164, Objective: 0.064361dB, Best: 0.064361dB
Iteration 165, Objective: 0.064334dB, Best: 0.064334dB
Iteration 166, Objective: 0.064081dB, Best: 0.064081dB
Iteration 167, Objective: 0.063993dB, Best: 0.063993dB
Iteration 168, Objective: 0.063704dB, Best: 0.063704dB
Iteration 169, Objective: 0.063378dB, Best: 0.063378dB
Iteration 170, Objective: 0.063300dB, Best: 0.063300dB
Iteration 171, Objective: 0.063212dB, Best: 0.063212dB
Iteration 172, Objective: 0.063070dB, Best: 0.063070dB
Iteration 173, Objective: 0.062953dB, Best: 0.062953dB
Iteration 174, Objective: 0.062867dB, Best: 0.062867dB
Iteration 175, Objective: 0.062766dB, Best: 0.062766dB
Iteration 176, Objective: 0.062693dB, Best: 0.062693dB
Iteration 177, Objective: 0.062638dB, Best: 0.062638dB
Iteration 178, Objective: 0.062500dB, Best: 0.062500dB
Iteration 179, Objective: 0.062415dB, Best: 0.062415dB
Iteration 180, Objective: 0.062353dB, Best: 0.062353dB
Iteration 181, Objective: 0.062267dB, Best: 0.062267dB
Iteration 182, Objective: 0.062111dB, Best: 0.062111dB
Iteration 183, Objective: 0.062039dB, Best: 0.062039dB
Iteration 184, Objective: 0.061961dB, Best: 0.061961dB
Iteration 185, Objective: 0.061887dB, Best: 0.061887dB
Iteration 186, Objective: 0.061794dB, Best: 0.061794dB
Iteration 187, Objective: 0.061717dB, Best: 0.061717dB
Iteration 188, Objective: 0.061652dB, Best: 0.061652dB
Iteration 189, Objective: 0.061561dB, Best: 0.061561dB
Iteration 190, Objective: 0.061443dB, Best: 0.061443dB
Iteration 191, Objective: 0.061338dB, Best: 0.061338dB
Iteration 192, Objective: 0.061259dB, Best: 0.061259dB
Iteration 193, Objective: 0.061228dB, Best: 0.061228dB
Iteration 194, Objective: 0.061182dB, Best: 0.061182dB
Iteration 195, Objective: 0.061087dB, Best: 0.061087dB
Iteration 196, Objective: 0.061001dB, Best: 0.061001dB
Iteration 197, Objective: 0.060898dB, Best: 0.060898dB
Iteration 198, Objective: 0.060729dB, Best: 0.060729dB
Iteration 199, Objective: 0.060506dB, Best: 0.060506dB
Iteration 200, Objective: 0.060363dB, Best: 0.060363dB
Iteration 201, Objective: 0.060166dB, Best: 0.060166dB
Iteration 202, Objective: 0.060060dB, Best: 0.060060dB
Iteration 203, Objective: 0.059992dB, Best: 0.059992dB
Iteration 204, Objective: 0.059853dB, Best: 0.059853dB
