Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.076140dB, Best: 0.076140dB
Iteration 101, Objective: 0.075828dB, Best: 0.075828dB
Iteration 102, Objective: 0.075673dB, Best: 0.075673dB
Iteration 103, Objective: 0.075307dB, Best: 0.075307dB
Iteration 104, Objective: 0.075115dB, Best: 0.075115dB
Iteration 105, Objective: 0.074966dB, Best: 0.074966dB
Iteration 106, Objective: 0.074798dB, Best: 0.074798dB
Iteration 107, Objective: 0.074732dB, Best: 0.074732dB
Iteration 108, Objective: 0.074500dB, Best: 0.074500dB
Iteration 109, Objective: 0.073838dB, Best: 0.073838dB
Iteration 110, Objective: 0.072790dB, Best: 0.072790dB
Iteration 111, Objective: 0.071728dB, Best: 0.071728dB
Iteration 112, Objective: 0.070777dB, Best: 0.070777dB
Iteration 113, Objective: 0.069953dB, Best: 0.069953dB
Iteration 114, Objective: 0.069613dB, Best: 0.069613dB
Iteration 115, Objective: 0.069229dB, Best: 0.069229dB
Iteration 116, Objective: 0.068895dB, Best: 0.068895dB
Iteration 117, Objective: 0.068620dB, Best: 0.068620dB
Iteration 118, Objective: 0.068301dB, Best: 0.068301dB
Iteration 119, Objective: 0.067835dB, Best: 0.067835dB
Iteration 120, Objective: 0.067538dB, Best: 0.067538dB
Iteration 121, Objective: 0.067273dB, Best: 0.067273dB
Iteration 122, Objective: 0.066996dB, Best: 0.066996dB
Iteration 123, Objective: 0.066709dB, Best: 0.066709dB
Iteration 124, Objective: 0.066539dB, Best: 0.066539dB
Iteration 125, Objective: 0.066381dB, Best: 0.066381dB
Iteration 126, Objective: 0.066171dB, Best: 0.066171dB
Iteration 127, Objective: 0.065923dB, Best: 0.065923dB
Iteration 128, Objective: 0.065404dB, Best: 0.065404dB
Iteration 129, Objective: 0.064909dB, Best: 0.064909dB
Iteration 130, Objective: 0.064532dB, Best: 0.064532dB
Iteration 131, Objective: 0.064466dB, Best: 0.064466dB
Iteration 132, Objective: 0.063804dB, Best: 0.063804dB
Iteration 133, Objective: 0.063515dB, Best: 0.063515dB
Iteration 134, Objective: 0.063057dB, Best: 0.063057dB
Iteration 135, Objective: 0.062407dB, Best: 0.062407dB
Iteration 136, Objective: 0.061983dB, Best: 0.061983dB
Iteration 137, Objective: 0.061931dB, Best: 0.061931dB
Iteration 138, Objective: 0.061360dB, Best: 0.061360dB
Iteration 139, Objective: 0.060659dB, Best: 0.060659dB
Iteration 140, Objective: 0.060570dB, Best: 0.060570dB
Iteration 141, Objective: 0.060171dB, Best: 0.060171dB
Iteration 142, Objective: 0.059701dB, Best: 0.059701dB
Iteration 143, Objective: 0.059269dB, Best: 0.059269dB
Iteration 144, Objective: 0.059080dB, Best: 0.059080dB
Iteration 145, Objective: 0.058911dB, Best: 0.058911dB
Iteration 146, Objective: 0.058767dB, Best: 0.058767dB
Iteration 147, Objective: 0.058518dB, Best: 0.058518dB
Iteration 148, Objective: 0.058035dB, Best: 0.058035dB
Iteration 149, Objective: 0.057823dB, Best: 0.057823dB
Iteration 150, Objective: 0.057589dB, Best: 0.057589dB
Iteration 151, Objective: 0.057404dB, Best: 0.057404dB
Iteration 152, Objective: 0.057182dB, Best: 0.057182dB
Iteration 153, Objective: 0.056998dB, Best: 0.056998dB
Iteration 154, Objective: 0.056874dB, Best: 0.056874dB
Iteration 155, Objective: 0.056376dB, Best: 0.056376dB
Iteration 156, Objective: 0.056037dB, Best: 0.056037dB
Iteration 157, Objective: 0.055434dB, Best: 0.055434dB
Iteration 158, Objective: 0.055140dB, Best: 0.055140dB
Iteration 159, Objective: 0.054440dB, Best: 0.054440dB
Iteration 160, Objective: 0.053998dB, Best: 0.053998dB
Iteration 161, Objective: 0.053723dB, Best: 0.053723dB
Iteration 162, Objective: 0.053553dB, Best: 0.053553dB
Iteration 163, Objective: 0.053238dB, Best: 0.053238dB
Iteration 164, Objective: 0.052972dB, Best: 0.052972dB
Iteration 165, Objective: 0.052606dB, Best: 0.052606dB
Iteration 166, Objective: 0.052395dB, Best: 0.052395dB
Iteration 167, Objective: 0.052297dB, Best: 0.052297dB
Iteration 168, Objective: 0.052187dB, Best: 0.052187dB
Iteration 169, Objective: 0.052141dB, Best: 0.052141dB
Iteration 170, Objective: 0.051970dB, Best: 0.051970dB
Iteration 171, Objective: 0.051816dB, Best: 0.051816dB
Iteration 172, Objective: 0.051583dB, Best: 0.051583dB
Iteration 173, Objective: 0.051399dB, Best: 0.051399dB
Iteration 174, Objective: 0.051344dB, Best: 0.051344dB
Iteration 175, Objective: 0.051280dB, Best: 0.051280dB
Iteration 176, Objective: 0.051088dB, Best: 0.051088dB
Iteration 177, Objective: 0.050964dB, Best: 0.050964dB
Iteration 178, Objective: 0.050856dB, Best: 0.050856dB
Iteration 179, Objective: 0.050760dB, Best: 0.050760dB
Iteration 180, Objective: 0.050615dB, Best: 0.050615dB
Iteration 181, Objective: 0.050501dB, Best: 0.050501dB
Iteration 182, Objective: 0.050180dB, Best: 0.050180dB
Iteration 183, Objective: 0.050059dB, Best: 0.050059dB
Iteration 184, Objective: 0.049972dB, Best: 0.049972dB
Iteration 185, Objective: 0.049940dB, Best: 0.049940dB
