Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.083217dB, Best: 0.083217dB
Iteration 101, Objective: 0.082973dB, Best: 0.082973dB
Iteration 102, Objective: 0.082757dB, Best: 0.082757dB
Iteration 103, Objective: 0.082633dB, Best: 0.082633dB
Iteration 104, Objective: 0.082465dB, Best: 0.082465dB
Iteration 105, Objective: 0.082352dB, Best: 0.082352dB
Iteration 106, Objective: 0.082048dB, Best: 0.082048dB
Iteration 107, Objective: 0.081867dB, Best: 0.081867dB
Iteration 108, Objective: 0.081623dB, Best: 0.081623dB
Iteration 109, Objective: 0.081554dB, Best: 0.081554dB
Iteration 110, Objective: 0.081435dB, Best: 0.081435dB
Iteration 111, Objective: 0.081278dB, Best: 0.081278dB
Iteration 112, Objective: 0.081066dB, Best: 0.081066dB
Iteration 113, Objective: 0.080937dB, Best: 0.080937dB
Iteration 114, Objective: 0.080760dB, Best: 0.080760dB
Iteration 115, Objective: 0.080487dB, Best: 0.080487dB
Iteration 116, Objective: 0.080345dB, Best: 0.080345dB
Iteration 117, Objective: 0.080073dB, Best: 0.080073dB
Iteration 118, Objective: 0.079867dB, Best: 0.079867dB
Iteration 119, Objective: 0.079665dB, Best: 0.079665dB
Iteration 120, Objective: 0.079555dB, Best: 0.079555dB
Iteration 121, Objective: 0.079441dB, Best: 0.079441dB
Iteration 122, Objective: 0.079153dB, Best: 0.079153dB
Iteration 123, Objective: 0.079047dB, Best: 0.079047dB
Iteration 124, Objective: 0.078787dB, Best: 0.078787dB
Iteration 125, Objective: 0.078659dB, Best: 0.078659dB
Iteration 126, Objective: 0.078384dB, Best: 0.078384dB
Iteration 127, Objective: 0.078314dB, Best: 0.078314dB
Iteration 128, Objective: 0.078152dB, Best: 0.078152dB
Iteration 129, Objective: 0.077857dB, Best: 0.077857dB
Iteration 130, Objective: 0.077762dB, Best: 0.077762dB
Iteration 131, Objective: 0.077693dB, Best: 0.077693dB
Iteration 132, Objective: 0.077503dB, Best: 0.077503dB
Iteration 133, Objective: 0.077364dB, Best: 0.077364dB
Iteration 134, Objective: 0.077037dB, Best: 0.077037dB
Iteration 135, Objective: 0.076820dB, Best: 0.076820dB
Iteration 136, Objective: 0.076214dB, Best: 0.076214dB
Iteration 137, Objective: 0.075533dB, Best: 0.075533dB
Iteration 138, Objective: 0.075334dB, Best: 0.075334dB
Iteration 139, Objective: 0.075202dB, Best: 0.075202dB
Iteration 140, Objective: 0.074890dB, Best: 0.074890dB
Iteration 141, Objective: 0.074666dB, Best: 0.074666dB
Iteration 142, Objective: 0.074417dB, Best: 0.074417dB
Iteration 143, Objective: 0.074203dB, Best: 0.074203dB
Iteration 144, Objective: 0.074098dB, Best: 0.074098dB
Iteration 145, Objective: 0.073797dB, Best: 0.073797dB
Iteration 146, Objective: 0.073372dB, Best: 0.073372dB
Iteration 147, Objective: 0.073170dB, Best: 0.073170dB
Iteration 148, Objective: 0.072970dB, Best: 0.072970dB
Iteration 149, Objective: 0.072755dB, Best: 0.072755dB
Iteration 150, Objective: 0.072630dB, Best: 0.072630dB
Iteration 151, Objective: 0.072477dB, Best: 0.072477dB
Iteration 152, Objective: 0.072210dB, Best: 0.072210dB
Iteration 153, Objective: 0.071962dB, Best: 0.071962dB
Iteration 154, Objective: 0.071890dB, Best: 0.071890dB
Iteration 155, Objective: 0.071730dB, Best: 0.071730dB
Iteration 156, Objective: 0.071509dB, Best: 0.071509dB
Iteration 157, Objective: 0.071321dB, Best: 0.071321dB
Iteration 158, Objective: 0.071138dB, Best: 0.071138dB
Iteration 159, Objective: 0.070969dB, Best: 0.070969dB
Iteration 160, Objective: 0.070457dB, Best: 0.070457dB
Iteration 161, Objective: 0.070209dB, Best: 0.070209dB
Iteration 162, Objective: 0.070169dB, Best: 0.070169dB
Iteration 163, Objective: 0.069899dB, Best: 0.069899dB
Iteration 164, Objective: 0.069637dB, Best: 0.069637dB
Iteration 165, Objective: 0.069441dB, Best: 0.069441dB
Iteration 166, Objective: 0.069372dB, Best: 0.069372dB
Iteration 167, Objective: 0.069164dB, Best: 0.069164dB
Iteration 168, Objective: 0.069015dB, Best: 0.069015dB
Iteration 169, Objective: 0.068862dB, Best: 0.068862dB
Iteration 170, Objective: 0.068706dB, Best: 0.068706dB
Iteration 171, Objective: 0.068585dB, Best: 0.068585dB
Iteration 172, Objective: 0.068262dB, Best: 0.068262dB
Iteration 173, Objective: 0.068195dB, Best: 0.068195dB
Iteration 174, Objective: 0.068065dB, Best: 0.068065dB
Iteration 175, Objective: 0.067999dB, Best: 0.067999dB
Iteration 176, Objective: 0.067916dB, Best: 0.067916dB
Iteration 177, Objective: 0.067803dB, Best: 0.067803dB
Iteration 178, Objective: 0.067688dB, Best: 0.067688dB
Iteration 179, Objective: 0.067374dB, Best: 0.067374dB
Iteration 180, Objective: 0.067044dB, Best: 0.067044dB
Iteration 181, Objective: 0.066877dB, Best: 0.066877dB
Iteration 182, Objective: 0.066803dB, Best: 0.066803dB
Iteration 183, Objective: 0.066479dB, Best: 0.066479dB
Iteration 184, Objective: 0.066263dB, Best: 0.066263dB
Iteration 185, Objective: 0.065912dB, Best: 0.065912dB
Iteration 186, Objective: 0.065751dB, Best: 0.065751dB
Iteration 187, Objective: 0.065740dB, Best: 0.065740dB
Iteration 188, Objective: 0.065435dB, Best: 0.065435dB
Iteration 189, Objective: 0.065193dB, Best: 0.065193dB
Iteration 190, Objective: 0.065043dB, Best: 0.065043dB
Iteration 191, Objective: 0.064789dB, Best: 0.064789dB
Iteration 192, Objective: 0.064649dB, Best: 0.064649dB
Iteration 193, Objective: 0.064403dB, Best: 0.064403dB
Iteration 194, Objective: 0.064333dB, Best: 0.064333dB
Iteration 195, Objective: 0.064244dB, Best: 0.064244dB
Iteration 196, Objective: 0.064213dB, Best: 0.064213dB
Iteration 197, Objective: 0.064150dB, Best: 0.064150dB
Iteration 198, Objective: 0.064044dB, Best: 0.064044dB
Iteration 199, Objective: 0.063968dB, Best: 0.063968dB
Iteration 200, Objective: 0.063874dB, Best: 0.063874dB
Iteration 201, Objective: 0.063800dB, Best: 0.063800dB
Iteration 202, Objective: 0.063642dB, Best: 0.063642dB
Iteration 203, Objective: 0.063502dB, Best: 0.063502dB
Iteration 204, Objective: 0.063221dB, Best: 0.063221dB
Iteration 205, Objective: 0.062949dB, Best: 0.062949dB
Iteration 206, Objective: 0.062739dB, Best: 0.062739dB
Iteration 207, Objective: 0.062679dB, Best: 0.062679dB
Iteration 208, Objective: 0.062582dB, Best: 0.062582dB
Iteration 209, Objective: 0.062373dB, Best: 0.062373dB
Iteration 210, Objective: 0.062188dB, Best: 0.062188dB
Iteration 211, Objective: 0.062014dB, Best: 0.062014dB
Iteration 212, Objective: 0.061851dB, Best: 0.061851dB
Iteration 213, Objective: 0.061710dB, Best: 0.061710dB
Iteration 214, Objective: 0.061540dB, Best: 0.061540dB
Iteration 215, Objective: 0.061309dB, Best: 0.061309dB
Iteration 216, Objective: 0.061063dB, Best: 0.061063dB
Iteration 217, Objective: 0.060904dB, Best: 0.060904dB
Iteration 218, Objective: 0.060821dB, Best: 0.060821dB
Iteration 219, Objective: 0.060364dB, Best: 0.060364dB
Iteration 220, Objective: 0.060014dB, Best: 0.060014dB
Iteration 221, Objective: 0.059747dB, Best: 0.059747dB
Iteration 222, Objective: 0.059442dB, Best: 0.059442dB
Iteration 223, Objective: 0.059205dB, Best: 0.059205dB
Iteration 224, Objective: 0.058917dB, Best: 0.058917dB
Iteration 225, Objective: 0.058269dB, Best: 0.058269dB
Iteration 226, Objective: 0.058002dB, Best: 0.058002dB
Iteration 227, Objective: 0.057739dB, Best: 0.057739dB
Iteration 228, Objective: 0.057482dB, Best: 0.057482dB
Iteration 229, Objective: 0.057239dB, Best: 0.057239dB
Iteration 230, Objective: 0.056906dB, Best: 0.056906dB
Iteration 231, Objective: 0.056753dB, Best: 0.056753dB
Iteration 232, Objective: 0.056114dB, Best: 0.056114dB
Iteration 233, Objective: 0.055950dB, Best: 0.055950dB
Iteration 234, Objective: 0.055853dB, Best: 0.055853dB
Iteration 235, Objective: 0.055755dB, Best: 0.055755dB
Iteration 236, Objective: 0.055525dB, Best: 0.055525dB
Iteration 237, Objective: 0.055486dB, Best: 0.055486dB
Iteration 238, Objective: 0.055330dB, Best: 0.055330dB
Iteration 239, Objective: 0.055104dB, Best: 0.055104dB
Iteration 240, Objective: 0.054914dB, Best: 0.054914dB
Iteration 241, Objective: 0.054823dB, Best: 0.054823dB
Iteration 242, Objective: 0.054628dB, Best: 0.054628dB
Iteration 243, Objective: 0.054524dB, Best: 0.054524dB
Iteration 244, Objective: 0.054496dB, Best: 0.054496dB
Iteration 245, Objective: 0.054474dB, Best: 0.054474dB
Iteration 246, Objective: 0.054412dB, Best: 0.054412dB
Iteration 247, Objective: 0.054339dB, Best: 0.054339dB
Iteration 248, Objective: 0.054138dB, Best: 0.054138dB
Iteration 249, Objective: 0.054057dB, Best: 0.054057dB
Iteration 250, Objective: 0.053879dB, Best: 0.053879dB
Iteration 251, Objective: 0.053767dB, Best: 0.053767dB
Iteration 252, Objective: 0.053689dB, Best: 0.053689dB
Iteration 253, Objective: 0.053537dB, Best: 0.053537dB
Iteration 254, Objective: 0.053442dB, Best: 0.053442dB
Iteration 255, Objective: 0.053289dB, Best: 0.053289dB
Iteration 256, Objective: 0.053255dB, Best: 0.053255dB
Iteration 257, Objective: 0.053177dB, Best: 0.053177dB
Iteration 258, Objective: 0.053070dB, Best: 0.053070dB
Iteration 259, Objective: 0.052937dB, Best: 0.052937dB
Iteration 260, Objective: 0.052891dB, Best: 0.052891dB
Iteration 261, Objective: 0.052824dB, Best: 0.052824dB
Iteration 262, Objective: 0.052775dB, Best: 0.052775dB
Iteration 263, Objective: 0.052692dB, Best: 0.052692dB
Iteration 264, Objective: 0.052601dB, Best: 0.052601dB
Iteration 265, Objective: 0.052513dB, Best: 0.052513dB
Iteration 266, Objective: 0.052433dB, Best: 0.052433dB
Iteration 267, Objective: 0.052321dB, Best: 0.052321dB
Iteration 268, Objective: 0.052228dB, Best: 0.052228dB
Iteration 269, Objective: 0.052171dB, Best: 0.052171dB
Iteration 270, Objective: 0.052122dB, Best: 0.052122dB
Iteration 271, Objective: 0.052078dB, Best: 0.052078dB
Iteration 272, Objective: 0.052056dB, Best: 0.052056dB
Iteration 273, Objective: 0.051968dB, Best: 0.051968dB
Iteration 274, Objective: 0.051865dB, Best: 0.051865dB
Iteration 275, Objective: 0.051808dB, Best: 0.051808dB
Iteration 276, Objective: 0.051808dB, Best: 0.051808dB
Iteration 277, Objective: 0.051707dB, Best: 0.051707dB
Iteration 278, Objective: 0.051672dB, Best: 0.051672dB
Iteration 279, Objective: 0.051548dB, Best: 0.051548dB
Iteration 280, Objective: 0.051506dB, Best: 0.051506dB
Iteration 281, Objective: 0.051447dB, Best: 0.051447dB
Iteration 282, Objective: 0.051411dB, Best: 0.051411dB
Iteration 283, Objective: 0.051383dB, Best: 0.051383dB
Iteration 284, Objective: 0.051354dB, Best: 0.051354dB
Iteration 285, Objective: 0.051307dB, Best: 0.051307dB
Iteration 286, Objective: 0.051265dB, Best: 0.051265dB
Iteration 287, Objective: 0.051239dB, Best: 0.051239dB
Iteration 288, Objective: 0.051228dB, Best: 0.051228dB
Iteration 289, Objective: 0.051184dB, Best: 0.051184dB
Iteration 290, Objective: 0.051149dB, Best: 0.051149dB
Iteration 291, Objective: 0.051123dB, Best: 0.051123dB
