Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.073622dB, Best: 0.073622dB
Iteration 101, Objective: 0.073381dB, Best: 0.073381dB
Iteration 102, Objective: 0.073163dB, Best: 0.073163dB
Iteration 103, Objective: 0.072909dB, Best: 0.072909dB
Iteration 104, Objective: 0.072641dB, Best: 0.072641dB
Iteration 105, Objective: 0.072458dB, Best: 0.072458dB
Iteration 106, Objective: 0.071864dB, Best: 0.071864dB
Iteration 107, Objective: 0.071811dB, Best: 0.071811dB
Iteration 108, Objective: 0.071349dB, Best: 0.071349dB
Iteration 109, Objective: 0.070956dB, Best: 0.070956dB
Iteration 110, Objective: 0.070738dB, Best: 0.070738dB
Iteration 111, Objective: 0.070401dB, Best: 0.070401dB
Iteration 112, Objective: 0.070100dB, Best: 0.070100dB
Iteration 113, Objective: 0.069592dB, Best: 0.069592dB
Iteration 114, Objective: 0.069448dB, Best: 0.069448dB
Iteration 115, Objective: 0.069247dB, Best: 0.069247dB
Iteration 116, Objective: 0.068750dB, Best: 0.068750dB
Iteration 117, Objective: 0.068613dB, Best: 0.068613dB
Iteration 118, Objective: 0.068459dB, Best: 0.068459dB
Iteration 119, Objective: 0.068367dB, Best: 0.068367dB
Iteration 120, Objective: 0.068171dB, Best: 0.068171dB
Iteration 121, Objective: 0.068019dB, Best: 0.068019dB
Iteration 122, Objective: 0.067785dB, Best: 0.067785dB
Iteration 123, Objective: 0.067452dB, Best: 0.067452dB
Iteration 124, Objective: 0.067183dB, Best: 0.067183dB
Iteration 125, Objective: 0.067170dB, Best: 0.067170dB
Iteration 126, Objective: 0.066777dB, Best: 0.066777dB
Iteration 127, Objective: 0.066564dB, Best: 0.066564dB
Iteration 128, Objective: 0.066360dB, Best: 0.066360dB
Iteration 129, Objective: 0.066168dB, Best: 0.066168dB
Iteration 130, Objective: 0.065947dB, Best: 0.065947dB
Iteration 131, Objective: 0.065815dB, Best: 0.065815dB
Iteration 132, Objective: 0.065736dB, Best: 0.065736dB
Iteration 133, Objective: 0.065545dB, Best: 0.065545dB
Iteration 134, Objective: 0.065437dB, Best: 0.065437dB
Iteration 135, Objective: 0.065332dB, Best: 0.065332dB
Iteration 136, Objective: 0.065194dB, Best: 0.065194dB
Iteration 137, Objective: 0.064916dB, Best: 0.064916dB
Iteration 138, Objective: 0.064574dB, Best: 0.064574dB
Iteration 139, Objective: 0.064248dB, Best: 0.064248dB
Iteration 140, Objective: 0.063965dB, Best: 0.063965dB
Iteration 141, Objective: 0.063523dB, Best: 0.063523dB
Iteration 142, Objective: 0.063229dB, Best: 0.063229dB
Iteration 143, Objective: 0.062897dB, Best: 0.062897dB
Iteration 144, Objective: 0.062748dB, Best: 0.062748dB
Iteration 145, Objective: 0.062562dB, Best: 0.062562dB
Iteration 146, Objective: 0.062389dB, Best: 0.062389dB
Iteration 147, Objective: 0.062270dB, Best: 0.062270dB
Iteration 148, Objective: 0.062156dB, Best: 0.062156dB
Iteration 149, Objective: 0.061964dB, Best: 0.061964dB
Iteration 150, Objective: 0.061777dB, Best: 0.061777dB
Iteration 151, Objective: 0.061390dB, Best: 0.061390dB
Iteration 152, Objective: 0.061270dB, Best: 0.061270dB
Iteration 153, Objective: 0.060945dB, Best: 0.060945dB
Iteration 154, Objective: 0.060790dB, Best: 0.060790dB
Iteration 155, Objective: 0.060729dB, Best: 0.060729dB
Iteration 156, Objective: 0.060612dB, Best: 0.060612dB
Iteration 157, Objective: 0.060555dB, Best: 0.060555dB
Iteration 158, Objective: 0.060499dB, Best: 0.060499dB
Iteration 159, Objective: 0.060491dB, Best: 0.060491dB
Iteration 160, Objective: 0.060337dB, Best: 0.060337dB
Iteration 161, Objective: 0.060226dB, Best: 0.060226dB
Iteration 162, Objective: 0.060142dB, Best: 0.060142dB
Iteration 163, Objective: 0.059953dB, Best: 0.059953dB
Iteration 164, Objective: 0.059803dB, Best: 0.059803dB
Iteration 165, Objective: 0.059694dB, Best: 0.059694dB
Iteration 166, Objective: 0.059616dB, Best: 0.059616dB
Iteration 167, Objective: 0.059455dB, Best: 0.059455dB
Iteration 168, Objective: 0.059293dB, Best: 0.059293dB
Iteration 169, Objective: 0.059262dB, Best: 0.059262dB
Iteration 170, Objective: 0.059066dB, Best: 0.059066dB
Iteration 171, Objective: 0.058996dB, Best: 0.058996dB
Iteration 172, Objective: 0.058854dB, Best: 0.058854dB
Iteration 173, Objective: 0.058745dB, Best: 0.058745dB
Iteration 174, Objective: 0.058706dB, Best: 0.058706dB
Iteration 175, Objective: 0.058637dB, Best: 0.058637dB
Iteration 176, Objective: 0.058579dB, Best: 0.058579dB
Iteration 177, Objective: 0.058547dB, Best: 0.058547dB
Iteration 178, Objective: 0.058523dB, Best: 0.058523dB
Iteration 179, Objective: 0.058501dB, Best: 0.058501dB
Iteration 180, Objective: 0.058493dB, Best: 0.058493dB
Iteration 181, Objective: 0.058422dB, Best: 0.058422dB
Iteration 182, Objective: 0.058385dB, Best: 0.058385dB
Iteration 183, Objective: 0.058363dB, Best: 0.058363dB
Iteration 184, Objective: 0.058334dB, Best: 0.058334dB
Iteration 185, Objective: 0.058260dB, Best: 0.058260dB
Iteration 186, Objective: 0.058176dB, Best: 0.058176dB
Iteration 187, Objective: 0.058136dB, Best: 0.058136dB
Iteration 188, Objective: 0.058098dB, Best: 0.058098dB
Iteration 189, Objective: 0.058069dB, Best: 0.058069dB
Iteration 190, Objective: 0.058036dB, Best: 0.058036dB
Iteration 191, Objective: 0.057984dB, Best: 0.057984dB
Iteration 192, Objective: 0.057914dB, Best: 0.057914dB
Iteration 193, Objective: 0.057876dB, Best: 0.057876dB
Iteration 194, Objective: 0.057804dB, Best: 0.057804dB
Iteration 195, Objective: 0.057734dB, Best: 0.057734dB
Iteration 196, Objective: 0.057679dB, Best: 0.057679dB
Iteration 197, Objective: 0.057553dB, Best: 0.057553dB
Iteration 198, Objective: 0.057468dB, Best: 0.057468dB
Iteration 199, Objective: 0.057436dB, Best: 0.057436dB
Iteration 200, Objective: 0.057322dB, Best: 0.057322dB
Iteration 201, Objective: 0.057249dB, Best: 0.057249dB
Iteration 202, Objective: 0.057185dB, Best: 0.057185dB
Iteration 203, Objective: 0.057085dB, Best: 0.057085dB
Iteration 204, Objective: 0.056996dB, Best: 0.056996dB
Iteration 205, Objective: 0.056955dB, Best: 0.056955dB
Iteration 206, Objective: 0.056901dB, Best: 0.056901dB
Iteration 207, Objective: 0.056843dB, Best: 0.056843dB
Iteration 208, Objective: 0.056800dB, Best: 0.056800dB
Iteration 209, Objective: 0.056761dB, Best: 0.056761dB
Iteration 210, Objective: 0.056661dB, Best: 0.056661dB
Iteration 211, Objective: 0.056582dB, Best: 0.056582dB
Iteration 212, Objective: 0.056524dB, Best: 0.056524dB
Iteration 213, Objective: 0.056461dB, Best: 0.056461dB
Iteration 214, Objective: 0.056434dB, Best: 0.056434dB
Iteration 215, Objective: 0.056410dB, Best: 0.056410dB
Iteration 216, Objective: 0.056353dB, Best: 0.056353dB
Iteration 217, Objective: 0.056212dB, Best: 0.056212dB
Iteration 218, Objective: 0.056192dB, Best: 0.056192dB
Iteration 219, Objective: 0.056099dB, Best: 0.056099dB
Iteration 220, Objective: 0.055995dB, Best: 0.055995dB
Iteration 221, Objective: 0.055964dB, Best: 0.055964dB
Iteration 222, Objective: 0.055799dB, Best: 0.055799dB
Iteration 223, Objective: 0.055755dB, Best: 0.055755dB
Iteration 224, Objective: 0.055720dB, Best: 0.055720dB
Iteration 225, Objective: 0.055648dB, Best: 0.055648dB
Iteration 226, Objective: 0.055576dB, Best: 0.055576dB
Iteration 227, Objective: 0.055449dB, Best: 0.055449dB
Iteration 228, Objective: 0.055344dB, Best: 0.055344dB
Iteration 229, Objective: 0.055230dB, Best: 0.055230dB
Iteration 230, Objective: 0.055055dB, Best: 0.055055dB
Iteration 231, Objective: 0.054968dB, Best: 0.054968dB
Iteration 232, Objective: 0.054920dB, Best: 0.054920dB
Iteration 233, Objective: 0.054909dB, Best: 0.054909dB
Iteration 234, Objective: 0.054782dB, Best: 0.054782dB
Iteration 235, Objective: 0.054693dB, Best: 0.054693dB
Iteration 236, Objective: 0.054612dB, Best: 0.054612dB
Iteration 237, Objective: 0.054525dB, Best: 0.054525dB
Iteration 238, Objective: 0.054452dB, Best: 0.054452dB
Iteration 239, Objective: 0.054408dB, Best: 0.054408dB
Iteration 240, Objective: 0.054313dB, Best: 0.054313dB
Iteration 241, Objective: 0.054306dB, Best: 0.054306dB
Iteration 242, Objective: 0.054183dB, Best: 0.054183dB
Iteration 243, Objective: 0.054133dB, Best: 0.054133dB
Iteration 244, Objective: 0.054046dB, Best: 0.054046dB
Iteration 245, Objective: 0.054020dB, Best: 0.054020dB
Iteration 246, Objective: 0.054002dB, Best: 0.054002dB
Iteration 247, Objective: 0.053988dB, Best: 0.053988dB
Iteration 248, Objective: 0.053942dB, Best: 0.053942dB
Iteration 249, Objective: 0.053911dB, Best: 0.053911dB
Iteration 250, Objective: 0.053893dB, Best: 0.053893dB
Iteration 251, Objective: 0.053863dB, Best: 0.053863dB
Iteration 252, Objective: 0.053823dB, Best: 0.053823dB
Iteration 253, Objective: 0.053720dB, Best: 0.053720dB
Iteration 254, Objective: 0.053593dB, Best: 0.053593dB
Iteration 255, Objective: 0.053459dB, Best: 0.053459dB
Iteration 256, Objective: 0.053294dB, Best: 0.053294dB
Iteration 257, Objective: 0.053192dB, Best: 0.053192dB
Iteration 258, Objective: 0.053128dB, Best: 0.053128dB
Iteration 259, Objective: 0.053086dB, Best: 0.053086dB
Iteration 260, Objective: 0.053069dB, Best: 0.053069dB
Iteration 261, Objective: 0.052912dB, Best: 0.052912dB
Iteration 262, Objective: 0.052894dB, Best: 0.052894dB
Iteration 263, Objective: 0.052779dB, Best: 0.052779dB
Iteration 264, Objective: 0.052681dB, Best: 0.052681dB
Iteration 265, Objective: 0.052613dB, Best: 0.052613dB
Iteration 266, Objective: 0.052551dB, Best: 0.052551dB
Iteration 267, Objective: 0.052509dB, Best: 0.052509dB
Iteration 268, Objective: 0.052455dB, Best: 0.052455dB
Iteration 269, Objective: 0.052409dB, Best: 0.052409dB
Iteration 270, Objective: 0.052275dB, Best: 0.052275dB
Iteration 271, Objective: 0.052225dB, Best: 0.052225dB
Iteration 272, Objective: 0.052131dB, Best: 0.052131dB
Iteration 273, Objective: 0.052080dB, Best: 0.052080dB
Iteration 274, Objective: 0.051986dB, Best: 0.051986dB
Iteration 275, Objective: 0.051919dB, Best: 0.051919dB
Iteration 276, Objective: 0.051786dB, Best: 0.051786dB
Iteration 277, Objective: 0.051767dB, Best: 0.051767dB
Iteration 278, Objective: 0.051686dB, Best: 0.051686dB
Iteration 279, Objective: 0.051594dB, Best: 0.051594dB
Iteration 280, Objective: 0.051535dB, Best: 0.051535dB
Iteration 281, Objective: 0.051468dB, Best: 0.051468dB
Iteration 282, Objective: 0.051432dB, Best: 0.051432dB
Iteration 283, Objective: 0.051406dB, Best: 0.051406dB
Iteration 284, Objective: 0.051353dB, Best: 0.051353dB
Iteration 285, Objective: 0.051322dB, Best: 0.051322dB
Iteration 286, Objective: 0.051229dB, Best: 0.051229dB
Iteration 287, Objective: 0.051195dB, Best: 0.051195dB
Iteration 288, Objective: 0.051166dB, Best: 0.051166dB
Iteration 289, Objective: 0.051122dB, Best: 0.051122dB
Iteration 290, Objective: 0.051071dB, Best: 0.051071dB
Iteration 291, Objective: 0.051044dB, Best: 0.051044dB
Iteration 292, Objective: 0.050985dB, Best: 0.050985dB
Iteration 293, Objective: 0.050956dB, Best: 0.050956dB
Iteration 294, Objective: 0.050908dB, Best: 0.050908dB
Iteration 295, Objective: 0.050842dB, Best: 0.050842dB
Iteration 296, Objective: 0.050807dB, Best: 0.050807dB
Iteration 297, Objective: 0.050779dB, Best: 0.050779dB
Iteration 298, Objective: 0.050693dB, Best: 0.050693dB
Iteration 299, Objective: 0.050652dB, Best: 0.050652dB
Iteration 300, Objective: 0.050632dB, Best: 0.050632dB
Iteration 301, Objective: 0.050517dB, Best: 0.050517dB
Iteration 302, Objective: 0.050511dB, Best: 0.050511dB
Iteration 303, Objective: 0.050459dB, Best: 0.050459dB
Iteration 304, Objective: 0.050378dB, Best: 0.050378dB
Iteration 305, Objective: 0.050309dB, Best: 0.050309dB
Iteration 306, Objective: 0.050242dB, Best: 0.050242dB
