Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.076611dB, Best: 0.076611dB
Iteration 101, Objective: 0.076225dB, Best: 0.076225dB
Iteration 102, Objective: 0.076035dB, Best: 0.076035dB
Iteration 103, Objective: 0.075847dB, Best: 0.075847dB
Iteration 104, Objective: 0.075664dB, Best: 0.075664dB
Iteration 105, Objective: 0.075476dB, Best: 0.075476dB
Iteration 106, Objective: 0.075335dB, Best: 0.075335dB
Iteration 107, Objective: 0.075164dB, Best: 0.075164dB
Iteration 108, Objective: 0.075056dB, Best: 0.075056dB
Iteration 109, Objective: 0.074890dB, Best: 0.074890dB
Iteration 110, Objective: 0.074848dB, Best: 0.074848dB
Iteration 111, Objective: 0.074516dB, Best: 0.074516dB
Iteration 112, Objective: 0.074376dB, Best: 0.074376dB
Iteration 113, Objective: 0.074191dB, Best: 0.074191dB
Iteration 114, Objective: 0.074096dB, Best: 0.074096dB
Iteration 115, Objective: 0.073989dB, Best: 0.073989dB
Iteration 116, Objective: 0.073756dB, Best: 0.073756dB
Iteration 117, Objective: 0.073623dB, Best: 0.073623dB
Iteration 118, Objective: 0.073539dB, Best: 0.073539dB
Iteration 119, Objective: 0.073364dB, Best: 0.073364dB
Iteration 120, Objective: 0.073153dB, Best: 0.073153dB
Iteration 121, Objective: 0.073049dB, Best: 0.073049dB
Iteration 122, Objective: 0.072892dB, Best: 0.072892dB
Iteration 123, Objective: 0.072739dB, Best: 0.072739dB
Iteration 124, Objective: 0.072628dB, Best: 0.072628dB
Iteration 125, Objective: 0.072398dB, Best: 0.072398dB
Iteration 126, Objective: 0.072197dB, Best: 0.072197dB
Iteration 127, Objective: 0.071984dB, Best: 0.071984dB
Iteration 128, Objective: 0.071800dB, Best: 0.071800dB
Iteration 129, Objective: 0.071553dB, Best: 0.071553dB
Iteration 130, Objective: 0.071375dB, Best: 0.071375dB
Iteration 131, Objective: 0.071163dB, Best: 0.071163dB
Iteration 132, Objective: 0.071043dB, Best: 0.071043dB
Iteration 133, Objective: 0.070955dB, Best: 0.070955dB
Iteration 134, Objective: 0.070723dB, Best: 0.070723dB
Iteration 135, Objective: 0.070473dB, Best: 0.070473dB
Iteration 136, Objective: 0.070321dB, Best: 0.070321dB
Iteration 137, Objective: 0.070246dB, Best: 0.070246dB
Iteration 138, Objective: 0.070080dB, Best: 0.070080dB
Iteration 139, Objective: 0.069902dB, Best: 0.069902dB
Iteration 140, Objective: 0.069818dB, Best: 0.069818dB
Iteration 141, Objective: 0.069685dB, Best: 0.069685dB
Iteration 142, Objective: 0.069613dB, Best: 0.069613dB
Iteration 143, Objective: 0.069508dB, Best: 0.069508dB
Iteration 144, Objective: 0.069297dB, Best: 0.069297dB
Iteration 145, Objective: 0.069273dB, Best: 0.069273dB
Iteration 146, Objective: 0.069132dB, Best: 0.069132dB
Iteration 147, Objective: 0.069116dB, Best: 0.069116dB
Iteration 148, Objective: 0.068898dB, Best: 0.068898dB
Iteration 149, Objective: 0.068765dB, Best: 0.068765dB
Iteration 150, Objective: 0.068629dB, Best: 0.068629dB
Iteration 151, Objective: 0.068402dB, Best: 0.068402dB
Iteration 152, Objective: 0.068266dB, Best: 0.068266dB
Iteration 153, Objective: 0.068206dB, Best: 0.068206dB
Iteration 154, Objective: 0.068144dB, Best: 0.068144dB
Iteration 155, Objective: 0.068101dB, Best: 0.068101dB
Iteration 156, Objective: 0.068075dB, Best: 0.068075dB
Iteration 157, Objective: 0.068044dB, Best: 0.068044dB
Iteration 158, Objective: 0.067972dB, Best: 0.067972dB
Iteration 159, Objective: 0.067916dB, Best: 0.067916dB
Iteration 160, Objective: 0.067783dB, Best: 0.067783dB
Iteration 161, Objective: 0.067636dB, Best: 0.067636dB
Iteration 162, Objective: 0.067381dB, Best: 0.067381dB
Iteration 163, Objective: 0.067188dB, Best: 0.067188dB
Iteration 164, Objective: 0.066981dB, Best: 0.066981dB
Iteration 165, Objective: 0.066832dB, Best: 0.066832dB
Iteration 166, Objective: 0.066817dB, Best: 0.066817dB
Iteration 167, Objective: 0.066731dB, Best: 0.066731dB
Iteration 168, Objective: 0.066656dB, Best: 0.066656dB
Iteration 169, Objective: 0.066565dB, Best: 0.066565dB
Iteration 170, Objective: 0.066518dB, Best: 0.066518dB
Iteration 171, Objective: 0.066471dB, Best: 0.066471dB
Iteration 172, Objective: 0.066425dB, Best: 0.066425dB
Iteration 173, Objective: 0.066281dB, Best: 0.066281dB
Iteration 174, Objective: 0.066200dB, Best: 0.066200dB
Iteration 175, Objective: 0.066058dB, Best: 0.066058dB
Iteration 176, Objective: 0.065876dB, Best: 0.065876dB
Iteration 177, Objective: 0.065785dB, Best: 0.065785dB
Iteration 178, Objective: 0.065707dB, Best: 0.065707dB
Iteration 179, Objective: 0.065550dB, Best: 0.065550dB
Iteration 180, Objective: 0.065451dB, Best: 0.065451dB
Iteration 181, Objective: 0.065328dB, Best: 0.065328dB
Iteration 182, Objective: 0.065248dB, Best: 0.065248dB
Iteration 183, Objective: 0.065209dB, Best: 0.065209dB
Iteration 184, Objective: 0.065117dB, Best: 0.065117dB
Iteration 185, Objective: 0.065051dB, Best: 0.065051dB
Iteration 186, Objective: 0.064962dB, Best: 0.064962dB
Iteration 187, Objective: 0.064825dB, Best: 0.064825dB
Iteration 188, Objective: 0.064704dB, Best: 0.064704dB
Iteration 189, Objective: 0.064585dB, Best: 0.064585dB
Iteration 190, Objective: 0.064567dB, Best: 0.064567dB
Iteration 191, Objective: 0.064307dB, Best: 0.064307dB
Iteration 192, Objective: 0.064180dB, Best: 0.064180dB
Iteration 193, Objective: 0.064087dB, Best: 0.064087dB
Iteration 194, Objective: 0.063964dB, Best: 0.063964dB
Iteration 195, Objective: 0.063860dB, Best: 0.063860dB
Iteration 196, Objective: 0.063759dB, Best: 0.063759dB
Iteration 197, Objective: 0.063577dB, Best: 0.063577dB
Iteration 198, Objective: 0.063441dB, Best: 0.063441dB
Iteration 199, Objective: 0.063125dB, Best: 0.063125dB
Iteration 200, Objective: 0.062978dB, Best: 0.062978dB
Iteration 201, Objective: 0.062764dB, Best: 0.062764dB
Iteration 202, Objective: 0.062703dB, Best: 0.062703dB
Iteration 203, Objective: 0.062490dB, Best: 0.062490dB
Iteration 204, Objective: 0.062285dB, Best: 0.062285dB
Iteration 205, Objective: 0.062165dB, Best: 0.062165dB
Iteration 206, Objective: 0.062039dB, Best: 0.062039dB
Iteration 207, Objective: 0.061955dB, Best: 0.061955dB
Iteration 208, Objective: 0.061887dB, Best: 0.061887dB
Iteration 209, Objective: 0.061820dB, Best: 0.061820dB
Iteration 210, Objective: 0.061767dB, Best: 0.061767dB
Iteration 211, Objective: 0.061728dB, Best: 0.061728dB
Iteration 212, Objective: 0.061682dB, Best: 0.061682dB
Iteration 213, Objective: 0.061660dB, Best: 0.061660dB
Iteration 214, Objective: 0.061639dB, Best: 0.061639dB
Iteration 215, Objective: 0.061615dB, Best: 0.061615dB
Iteration 216, Objective: 0.061517dB, Best: 0.061517dB
Iteration 217, Objective: 0.061484dB, Best: 0.061484dB
Iteration 218, Objective: 0.061332dB, Best: 0.061332dB
Iteration 219, Objective: 0.061061dB, Best: 0.061061dB
Iteration 220, Objective: 0.060842dB, Best: 0.060842dB
Iteration 221, Objective: 0.060757dB, Best: 0.060757dB
Iteration 222, Objective: 0.060447dB, Best: 0.060447dB
Iteration 223, Objective: 0.060272dB, Best: 0.060272dB
Iteration 224, Objective: 0.060204dB, Best: 0.060204dB
Iteration 225, Objective: 0.060121dB, Best: 0.060121dB
Iteration 226, Objective: 0.060006dB, Best: 0.060006dB
Iteration 227, Objective: 0.059511dB, Best: 0.059511dB
Iteration 228, Objective: 0.059256dB, Best: 0.059256dB
Iteration 229, Objective: 0.059020dB, Best: 0.059020dB
Iteration 230, Objective: 0.058778dB, Best: 0.058778dB
Iteration 231, Objective: 0.058494dB, Best: 0.058494dB
Iteration 232, Objective: 0.058099dB, Best: 0.058099dB
Iteration 233, Objective: 0.057803dB, Best: 0.057803dB
Iteration 234, Objective: 0.057709dB, Best: 0.057709dB
Iteration 235, Objective: 0.057525dB, Best: 0.057525dB
Iteration 236, Objective: 0.057226dB, Best: 0.057226dB
Iteration 237, Objective: 0.057150dB, Best: 0.057150dB
Iteration 238, Objective: 0.056910dB, Best: 0.056910dB
Iteration 239, Objective: 0.056672dB, Best: 0.056672dB
Iteration 240, Objective: 0.056507dB, Best: 0.056507dB
Iteration 241, Objective: 0.056405dB, Best: 0.056405dB
Iteration 242, Objective: 0.056301dB, Best: 0.056301dB
Iteration 243, Objective: 0.056039dB, Best: 0.056039dB
Iteration 244, Objective: 0.055877dB, Best: 0.055877dB
Iteration 245, Objective: 0.055842dB, Best: 0.055842dB
Iteration 246, Objective: 0.055599dB, Best: 0.055599dB
Iteration 247, Objective: 0.055288dB, Best: 0.055288dB
Iteration 248, Objective: 0.055101dB, Best: 0.055101dB
Iteration 249, Objective: 0.054875dB, Best: 0.054875dB
Iteration 250, Objective: 0.054497dB, Best: 0.054497dB
Iteration 251, Objective: 0.054304dB, Best: 0.054304dB
Iteration 252, Objective: 0.054184dB, Best: 0.054184dB
Iteration 253, Objective: 0.054082dB, Best: 0.054082dB
Iteration 254, Objective: 0.053883dB, Best: 0.053883dB
Iteration 255, Objective: 0.053177dB, Best: 0.053177dB
Iteration 256, Objective: 0.052824dB, Best: 0.052824dB
Iteration 257, Objective: 0.052531dB, Best: 0.052531dB
Iteration 258, Objective: 0.052373dB, Best: 0.052373dB
Iteration 259, Objective: 0.052206dB, Best: 0.052206dB
Iteration 260, Objective: 0.051937dB, Best: 0.051937dB
Iteration 261, Objective: 0.051812dB, Best: 0.051812dB
Iteration 262, Objective: 0.051519dB, Best: 0.051519dB
Iteration 263, Objective: 0.051376dB, Best: 0.051376dB
Iteration 264, Objective: 0.051259dB, Best: 0.051259dB
Iteration 265, Objective: 0.051180dB, Best: 0.051180dB
Iteration 266, Objective: 0.051067dB, Best: 0.051067dB
Iteration 267, Objective: 0.050917dB, Best: 0.050917dB
Iteration 268, Objective: 0.050786dB, Best: 0.050786dB
Iteration 269, Objective: 0.050560dB, Best: 0.050560dB
Iteration 270, Objective: 0.050509dB, Best: 0.050509dB
Iteration 271, Objective: 0.050464dB, Best: 0.050464dB
Iteration 272, Objective: 0.050257dB, Best: 0.050257dB
Iteration 273, Objective: 0.050168dB, Best: 0.050168dB
Iteration 274, Objective: 0.049990dB, Best: 0.049990dB
Iteration 275, Objective: 0.049940dB, Best: 0.049940dB
Iteration 276, Objective: 0.049800dB, Best: 0.049800dB
Iteration 277, Objective: 0.049663dB, Best: 0.049663dB
Iteration 278, Objective: 0.049642dB, Best: 0.049642dB
Iteration 279, Objective: 0.049450dB, Best: 0.049450dB
Iteration 280, Objective: 0.049401dB, Best: 0.049401dB
Iteration 281, Objective: 0.049239dB, Best: 0.049239dB
Iteration 282, Objective: 0.049134dB, Best: 0.049134dB
Iteration 283, Objective: 0.049028dB, Best: 0.049028dB
Iteration 284, Objective: 0.048904dB, Best: 0.048904dB
Iteration 285, Objective: 0.048805dB, Best: 0.048805dB
Iteration 286, Objective: 0.048773dB, Best: 0.048773dB
Iteration 287, Objective: 0.048632dB, Best: 0.048632dB
Iteration 288, Objective: 0.048513dB, Best: 0.048513dB
Iteration 289, Objective: 0.048387dB, Best: 0.048387dB
Iteration 290, Objective: 0.048323dB, Best: 0.048323dB
Iteration 291, Objective: 0.048154dB, Best: 0.048154dB
Iteration 292, Objective: 0.047983dB, Best: 0.047983dB
Iteration 293, Objective: 0.047802dB, Best: 0.047802dB
Iteration 294, Objective: 0.047636dB, Best: 0.047636dB
Iteration 295, Objective: 0.047606dB, Best: 0.047606dB
Iteration 296, Objective: 0.047406dB, Best: 0.047406dB
Iteration 297, Objective: 0.047229dB, Best: 0.047229dB
Iteration 298, Objective: 0.047126dB, Best: 0.047126dB
Iteration 299, Objective: 0.046996dB, Best: 0.046996dB
