Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 100, Objective: 0.040296dB, Best: 0.040296dB
Iteration 101, Objective: 0.039982dB, Best: 0.039982dB
Iteration 102, Objective: 0.039751dB, Best: 0.039751dB
Iteration 103, Objective: 0.039589dB, Best: 0.039589dB
Iteration 104, Objective: 0.039453dB, Best: 0.039453dB
Iteration 105, Objective: 0.039327dB, Best: 0.039327dB
Iteration 106, Objective: 0.039122dB, Best: 0.039122dB
Iteration 107, Objective: 0.038994dB, Best: 0.038994dB
Iteration 108, Objective: 0.038859dB, Best: 0.038859dB
Iteration 109, Objective: 0.038835dB, Best: 0.038835dB
Iteration 110, Objective: 0.038589dB, Best: 0.038589dB
Iteration 111, Objective: 0.038503dB, Best: 0.038503dB
Iteration 112, Objective: 0.038349dB, Best: 0.038349dB
Iteration 113, Objective: 0.038262dB, Best: 0.038262dB
Iteration 114, Objective: 0.038024dB, Best: 0.038024dB
Iteration 115, Objective: 0.037841dB, Best: 0.037841dB
Iteration 116, Objective: 0.037786dB, Best: 0.037786dB
Iteration 117, Objective: 0.037653dB, Best: 0.037653dB
Iteration 118, Objective: 0.037475dB, Best: 0.037475dB
Iteration 119, Objective: 0.037348dB, Best: 0.037348dB
Iteration 120, Objective: 0.037217dB, Best: 0.037217dB
Iteration 121, Objective: 0.037149dB, Best: 0.037149dB
Iteration 122, Objective: 0.037065dB, Best: 0.037065dB
Iteration 123, Objective: 0.036795dB, Best: 0.036795dB
Iteration 124, Objective: 0.036576dB, Best: 0.036576dB
Iteration 125, Objective: 0.036421dB, Best: 0.036421dB
Iteration 126, Objective: 0.036030dB, Best: 0.036030dB
Iteration 127, Objective: 0.035811dB, Best: 0.035811dB
Iteration 128, Objective: 0.035633dB, Best: 0.035633dB
Iteration 129, Objective: 0.035520dB, Best: 0.035520dB
Iteration 130, Objective: 0.035345dB, Best: 0.035345dB
Iteration 131, Objective: 0.035263dB, Best: 0.035263dB
Iteration 132, Objective: 0.035050dB, Best: 0.035050dB
Iteration 133, Objective: 0.034873dB, Best: 0.034873dB
Iteration 134, Objective: 0.034696dB, Best: 0.034696dB
Iteration 135, Objective: 0.034536dB, Best: 0.034536dB
Iteration 136, Objective: 0.034222dB, Best: 0.034222dB
Iteration 137, Objective: 0.033977dB, Best: 0.033977dB
Iteration 138, Objective: 0.033782dB, Best: 0.033782dB
Iteration 139, Objective: 0.033495dB, Best: 0.033495dB
Iteration 140, Objective: 0.033465dB, Best: 0.033465dB
Iteration 141, Objective: 0.033302dB, Best: 0.033302dB
Iteration 142, Objective: 0.033187dB, Best: 0.033187dB
Iteration 143, Objective: 0.033003dB, Best: 0.033003dB
Iteration 144, Objective: 0.032828dB, Best: 0.032828dB
Iteration 145, Objective: 0.032731dB, Best: 0.032731dB
Iteration 146, Objective: 0.032619dB, Best: 0.032619dB
Iteration 147, Objective: 0.032512dB, Best: 0.032512dB
Iteration 148, Objective: 0.032397dB, Best: 0.032397dB
Iteration 149, Objective: 0.032190dB, Best: 0.032190dB
Iteration 150, Objective: 0.031984dB, Best: 0.031984dB
Iteration 151, Objective: 0.031787dB, Best: 0.031787dB
Iteration 152, Objective: 0.031692dB, Best: 0.031692dB
Iteration 153, Objective: 0.031565dB, Best: 0.031565dB
Iteration 154, Objective: 0.031427dB, Best: 0.031427dB
Iteration 155, Objective: 0.031314dB, Best: 0.031314dB
Iteration 156, Objective: 0.031194dB, Best: 0.031194dB
Iteration 157, Objective: 0.031061dB, Best: 0.031061dB
